"","FighterID","Fighter","Result","Opponent","Event","Method","Round","Time","Date"
"2926",158,"Tito Ortiz","win","Wanderlei Silva","UFC 25 - Ultimate Japan 3Apr / 14 / 2000","Decision (Unanimous)John McCarthy","5","5:00",2000-04-14
"3024",158,"Tito Ortiz","loss","Frank Shamrock","UFC 22 - There Can Be Only One ChampionSep / 24 / 1999","TKO (Submission to Punches)John McCarthy","4","4:42",1999-09-24
"31101",158,"Tito Ortiz","win","Guy Mezger","UFC 19 - Ultimate Young GunsMar / 05 / 1999","TKO (Punches)John McCarthy","1","9:56",1999-03-05
"3226",158,"Tito Ortiz","win","Jerry Bohlander","UFC 18 - Road to the Heavyweight TitleJan / 08 / 1999","TKO (Cut)John McCarthy","1","14:31",1999-01-08
"3323",158,"Tito Ortiz","win","Jeremy Screeton","WCNHBC - West Coast NHB Championships 1Dec / 08 / 1998","TKO (Submission to Knees)Earl Lux","1","0:16",1998-12-08
"3421",158,"Tito Ortiz","loss","Guy Mezger","UFC 13 - The Ultimate ForceMay / 30 / 1997","Submission (Guillotine Choke)John McCarthy","1","3:00",1997-05-30
"3521",158,"Tito Ortiz","win","Wes Albritton","UFC 13 - The Ultimate ForceMay / 30 / 1997","TKO (Punches)Joe Hamilton","1","0:31",1997-05-30
"2289",159,"Wes Albritton","loss","Tito Ortiz","UFC 13 - The Ultimate ForceMay / 30 / 1997","TKO (Punches)Joe Hamilton","1","0:31",1997-05-30
"2290",160,"Saeed Hosseini","loss","Jack Nilson","UFC 13 - The Ultimate ForceMay / 30 / 1997","TKO (Elbows)Joe Hamilton","1","1:23",1997-05-30
"2292",161,"Jack Nilson","loss","George Randolph","RSF 1 - Redemption in the ValleyApr / 21 / 2001","TKO (Submission to Strikes)N/A","1","1:38",2001-04-21
"3204",161,"Jack Nilson","win","Stu Hesselmeyer","RSF - Circle of Truth 1Apr / 07 / 2001","TKO (Submission to Strikes)N/A","1","2:44",2001-04-07
"4163",161,"Jack Nilson","loss","Nate Schroeder","Rings USA - Rising Stars FinalSep / 30 / 2000","Submission (Kneebar)N/A","1","0:36",2000-09-30
"5126",161,"Jack Nilson","loss","John Dixson","WEF - New Blood ConflictAug / 26 / 2000","Submission (Heel Hook)N/A","1","0:32",2000-08-26
"6106",161,"Jack Nilson","loss","J.J. Wilson","ISCF - Spring Showdown 2000May / 06 / 2000","TKON/A","1","4:45",2000-05-06
"798",161,"Jack Nilson","loss","J.J. Wilson","ISCF - Winter Wars 2000Feb / 12 / 2000","SubmissionN/A","3","0:00",2000-02-12
"890",161,"Jack Nilson","win","Saeed Hosseini","UFC 13 - The Ultimate ForceMay / 30 / 1997","TKO (Elbows)Joe Hamilton","1","1:23",1997-05-30
"980",161,"Jack Nilson","loss","Tai Bowden","UFC - Ultimate Ultimate 1996Dec / 07 / 1996","TKO (Submission to Headbutts)N/A","1","4:46",1996-12-07
"2293",162,"Kevin Randleman","loss","Magomedbag Agaev","FEFoMP - Mayor's Cup 2011May / 07 / 2011","Submission (Armbar)N/A","1","4:05",2011-05-07
"3205",162,"Kevin Randleman","loss","Roger Gracie","Strikeforce - Heavy ArtilleryMay / 15 / 2010","Submission (Rear-Naked Choke)Mike England","2","4:10",2010-05-15
"4164",162,"Kevin Randleman","loss","Stanislav Nedkov","Sengoku - Eleventh BattleNov / 07 / 2009","Decision (Split)N/A","3","5:00",2009-11-07
"5127",162,"Kevin Randleman","loss","Mike Whitehead","Strikeforce - Lawler vs. ShieldsJun / 06 / 2009","Decision (Unanimous)John McCarthy","3","5:00",2009-06-06
"6107",162,"Kevin Randleman","win","Ryo Kawamura","Sengoku - Second BattleMay / 18 / 2008","Decision (Unanimous)Kenichi Serizawa","3","5:00",2008-05-18
"799",162,"Kevin Randleman","loss","Mauricio Rua","Pride 32 - The Real DealOct / 21 / 2006","Submission (Kneebar)Daisuke Noguchi","1","2:35",2006-10-21
"893",162,"Kevin Randleman","win","Fatih Kocamis","Bushido Europe - Rotterdam RumbleOct / 09 / 2005","Decision (Unanimous)Yuji Shimada","2","5:00",2005-10-09
"983",162,"Kevin Randleman","loss","Kazuhiro Nakamura","Pride FC - Total Elimination 2005Apr / 23 / 2005","Decision (Unanimous)N/A","3","5:00",2005-04-23
"1077",162,"Kevin Randleman","loss","Mirko Filipovic","Pride - Shockwave 2004Dec / 31 / 2004","Submission (Guillotine Choke)N/A","1","0:41",2004-12-31
"1174",162,"Kevin Randleman","loss","Ron Waterman","Pride FC - Final Conflict 2004Aug / 15 / 2004","Submission (Keylock)N/A","1","7:44",2004-08-15
"1269",162,"Kevin Randleman","loss","Fedor Emelianenko","Pride FC - Critical Countdown 2004Jun / 20 / 2004","Submission (Kimura)N/A","1","1:33",2004-06-20
"1360",162,"Kevin Randleman","win","Mirko Filipovic","Pride FC - Total Elimination 2004Apr / 25 / 2004","KO (Punches)N/A","1","1:57",2004-04-25
"1457",162,"Kevin Randleman","loss","Kazushi Sakuraba","Pride FC - Final Conflict 2003Nov / 09 / 2003","Submission (Armbar)N/A","3","2:36",2003-11-09
"1552",162,"Kevin Randleman","loss","Quinton Jackson","Pride 25 - Body BlowMar / 16 / 2003","TKO (Punches)N/A","1","6:58",2003-03-16
"1652",162,"Kevin Randleman","win","Murilo Rua","Pride 24 - Cold Fury 3Dec / 23 / 2002","TKO (Cut)N/A","3","0:20",2002-12-23
"1748",162,"Kevin Randleman","win","Kenichi Yamamoto","Pride 23 - Championship Chaos 2Nov / 24 / 2002","TKO (Knees)N/A","3","1:16",2002-11-24
"1847",162,"Kevin Randleman","win","Michiyoshi Ohara","Pride 22 - Beasts From The East 2Sep / 29 / 2002","Decision (Unanimous)N/A","3","5:00",2002-09-29
"1947",162,"Kevin Randleman","win","Brian    Foster","RFC 1 - The BeginningJul / 13 / 2002","KO (Punch)N/A","1","0:20",2002-07-13
"2040",162,"Kevin Randleman","win","Renato Sobral","UFC 35 - ThrowdownJan / 11 / 2002","Decision (Unanimous)N/A","3","5:00",2002-01-11
"21111",162,"Kevin Randleman","loss","Chuck Liddell","UFC 31 - Locked & LoadedMay / 04 / 2001","KO (Punches)N/A","1","1:18",2001-05-04
"2294",162,"Kevin Randleman","loss","Randy Couture","UFC 28 - High StakesNov / 17 / 2000","TKO (Strikes)John McCarthy","3","4:13",2000-11-17
"2338",162,"Kevin Randleman","win","Pedro Rizzo","UFC 26 - Ultimate Field of DreamsJun / 09 / 2000","Decision (Unanimous)John McCarthy","5","5:00",2000-06-09
"2438",162,"Kevin Randleman","win","Pete Williams","UFC 23 - Ultimate Japan 2Nov / 19 / 1999","DecisionJohn McCarthy","5","5:00",1999-11-19
"2534",162,"Kevin Randleman","loss","Bas Rutten","UFC 20 - Battle for the GoldMay / 07 / 1999","Decision (Split)John McCarthy","1","21:00",1999-05-07
"2630",162,"Kevin Randleman","win","Maurice Smith","UFC 19 - Ultimate Young GunsMar / 05 / 1999","Decision (Unanimous)John McCarthy","1","15:00",1999-03-05
"2729",162,"Kevin Randleman","loss","Tom Erikson","Brazil Open - '97Jun / 15 / 1997","KO (Punch)N/A","1","1:11",1997-06-15
"2828",162,"Kevin Randleman","win","Gustavo Homem de Neve","Brazil Open - '97Jun / 15 / 1997","TKO (Submission to Elbow)N/A","1","2:21",1997-06-15
"2927",162,"Kevin Randleman","loss","Carlos Barreto","UVF 6 - Universal Vale Tudo Fighting 6Mar / 03 / 1997","Technical Submission (Triangle Choke)N/A","1","22:24",1997-03-03
"3025",162,"Kevin Randleman","win","Mario Neto","UVF 6 - Universal Vale Tudo Fighting 6Mar / 03 / 1997","TKO (Submission to Punches)N/A","1","11:24",1997-03-03
"31102",162,"Kevin Randleman","win","Ebenezer Fontes Braga","UVF 6 - Universal Vale Tudo Fighting 6Mar / 03 / 1997","DecisionN/A","1","20:00",1997-03-03
"3227",162,"Kevin Randleman","win","Dan Bobish","UVF 4 - Universal Vale Tudo Fighting 4Oct / 22 / 1996","TKO (Submission to Punches)N/A","1","5:50",1996-10-22
"3324",162,"Kevin Randleman","win","Geza Kalman","UVF 4 - Universal Vale Tudo Fighting 4Oct / 22 / 1996","TKO (Punches)N/A","1","7:37",1996-10-22
"3422",162,"Kevin Randleman","win","Luis Carlos Maciel","UVF 4 - Universal Vale Tudo Fighting 4Oct / 22 / 1996","TKO (Submission to Punches)N/A","1","5:14",1996-10-22
"2295",163,"Royce Alger","loss","Eugene Jackson","UFC 21 - Return of the ChampionsJul / 16 / 1999","KO (Punch)John McCarthy","2","1:19",1999-07-16
"3206",163,"Royce Alger","win","Roberto Ramirez","ICF 1 - Iowa Cage Fighting 1Aug / 08 / 1998","TKON/A","1","4:48",1998-08-08
"4165",163,"Royce Alger","win","Craig Pumphrey","EC 10 - Extreme Challenge 10Oct / 04 / 1997","TKO (Punches)N/A","1","4:15",1997-10-04
"5128",163,"Royce Alger","win","Joe DeFuria","EC 9 - Extreme Challenge 9Aug / 30 / 1997","Submission (Keylock)N/A","1","1:24",1997-08-30
"6108",163,"Royce Alger","loss","Enson Inoue","UFC 13 - The Ultimate ForceMay / 30 / 1997","Submission (Armlock)John McCarthy","1","1:36",1997-05-30
"2296",164,"Steven Graham","loss","Randy Couture","UFC 13 - The Ultimate ForceMay / 30 / 1997","TKO (Punches)John McCarthy","1","3:13",1997-05-30
"3207",164,"Steven Graham","win","Dmitri Stepanov","UFC 13 - The Ultimate ForceMay / 30 / 1997","Submission (Armlock)John McCarthy","1","1:30",1997-05-30
"4166",164,"Steven Graham","win","Bob Lucaselli","USVTO - US Vale Tudo Open 1996Nov / 06 / 1996","Submission (Rear-Naked Choke)N/A","1","4:22",1996-11-06
"2297",165,"Dmitri Stepanov","loss","Steven Graham","UFC 13 - The Ultimate ForceMay / 30 / 1997","Submission (Armlock)John McCarthy","1","1:30",1997-05-30
"2298",166,"Randy Couture","loss","Lyoto Machida","UFC 129 - St. Pierre vs. ShieldsApr / 30 / 2011","KO (Front Kick)Yves Lavigne","2","1:05",2011-04-30
"3208",166,"Randy Couture","win","James Toney","UFC 118 - Edgar vs. Penn 2Aug / 28 / 2010","Submission (Arm-Triangle Choke)Mario Yamasaki","1","3:19",2010-08-28
"4167",166,"Randy Couture","win","Mark Coleman","UFC 109 - RelentlessFeb / 06 / 2010","Submission (Rear-Naked Choke)Steve Mazzagatti","2","1:09",2010-02-06
"5129",166,"Randy Couture","win","Brandon Vera","UFC 105 - Couture vs. VeraNov / 14 / 2009","Decision (Unanimous)Marc Goddard","3","5:00",2009-11-14
"6109",166,"Randy Couture","loss","Antonio Rodrigo Nogueira","UFC 102 - Couture vs. NogueiraAug / 29 / 2009","Decision (Unanimous)Mario Yamasaki","3","5:00",2009-08-29
"7100",166,"Randy Couture","loss","Brock Lesnar","UFC 91 - Couture vs. LesnarNov / 15 / 2008","TKO (Punches)Mario Yamasaki","2","3:07",2008-11-15
"894",166,"Randy Couture","win","Gabriel Gonzaga","UFC 74 - RespectAug / 25 / 2007","TKO (Punches)Herb Dean","3","1:37",2007-08-25
"984",166,"Randy Couture","win","Tim Sylvia","UFC 68 - UprisingMar / 03 / 2007","Decision (Unanimous)John McCarthy","5","5:00",2007-03-03
"1078",166,"Randy Couture","loss","Chuck Liddell","UFC 57 - Liddell vs. Couture 3Feb / 04 / 2006","KO (Punch)John McCarthy","2","1:28",2006-02-04
"1175",166,"Randy Couture","win","Mike Van Arsdale","UFC 54 - Boiling PointAug / 20 / 2005","Submission (Anaconda Choke)Herb Dean","3","0:52",2005-08-20
"1270",166,"Randy Couture","loss","Chuck Liddell","UFC 52 - Couture vs. Liddell 2Apr / 16 / 2005","KO (Punches)John McCarthy","1","2:06",2005-04-16
"1362",166,"Randy Couture","win","Vitor Belfort","UFC 49 - Unfinished BusinessAug / 21 / 2004","TKO (Doctor Stoppage)John McCarthy","3","5:00",2004-08-21
"1458",166,"Randy Couture","loss","Vitor Belfort","UFC 46 - SupernaturalJan / 31 / 2004","TKO (Cut)N/A","1","0:49",2004-01-31
"1553",166,"Randy Couture","win","Tito Ortiz","UFC 44 - UndisputedSep / 26 / 2003","Decision (Unanimous)N/A","5","5:00",2003-09-26
"1653",166,"Randy Couture","win","Chuck Liddell","UFC 43 - MeltdownJun / 06 / 2003","TKO (Punches)N/A","3","2:39",2003-06-06
"1749",166,"Randy Couture","loss","Ricco Rodriguez","UFC 39 - The Warriors ReturnSep / 27 / 2002","TKO (Submission to Elbow)N/A","5","3:04",2002-09-27
"1848",166,"Randy Couture","loss","Josh Barnett","UFC 36 - Worlds CollideMar / 22 / 2002","TKO (Punches)N/A","2","4:35",2002-03-22
"1948",166,"Randy Couture","win","Pedro Rizzo","UFC 34 - High VoltageNov / 02 / 2001","TKO (Punches)N/A","3","1:38",2001-11-02
"2042",166,"Randy Couture","win","Pedro Rizzo","UFC 31 - Locked & LoadedMay / 04 / 2001","Decision (Unanimous)N/A","5","5:00",2001-05-04
"21112",166,"Randy Couture","loss","Valentijn Overeem","Rings - King of Kings 2000 FinalFeb / 24 / 2001","Submission (Guillotine Choke)N/A","1","0:56",2001-02-24
"2299",166,"Randy Couture","win","Tsuyoshi Kosaka","Rings - King of Kings 2000 FinalFeb / 24 / 2001","Decision (Unanimous)N/A","2","5:00",2001-02-24
"2339",166,"Randy Couture","win","Kevin Randleman","UFC 28 - High StakesNov / 17 / 2000","TKO (Strikes)John McCarthy","3","4:13",2000-11-17
"2439",166,"Randy Couture","win","Ryushi Yanagisawa","Rings - King of Kings 2000 Block AOct / 09 / 2000","Decision (Majority)N/A","2","5:00",2000-10-09
"2535",166,"Randy Couture","win","Jeremy Horn","Rings - King of Kings 2000 Block AOct / 09 / 2000","Decision (Unanimous)N/A","3","5:00",2000-10-09
"2632",166,"Randy Couture","loss","Mikhail Ilyukhin","Rings - Rise 1stMar / 20 / 1999","Submission (Kimura)Ryogaku Wada","1","7:43",1999-03-20
"2730",166,"Randy Couture","loss","Enson Inoue","VTJ 1998 - Vale Tudo Japan 1998Oct / 25 / 1998","Submission (Armbar)N/A","1","1:39",1998-10-25
"2829",166,"Randy Couture","win","Maurice Smith","UFC 15.5 - Ultimate Japan 1Dec / 21 / 1997","DecisionJohn McCarthy","1","21:00",1997-12-21
"2928",166,"Randy Couture","win","Vitor Belfort","UFC 15 - Collision CourseOct / 17 / 1997","TKO (Punches)John McCarthy","1","8:16",1997-10-17
"3026",166,"Randy Couture","win","Steven Graham","UFC 13 - The Ultimate ForceMay / 30 / 1997","TKO (Punches)John McCarthy","1","3:13",1997-05-30
"31103",166,"Randy Couture","win","Tony Halme","UFC 13 - The Ultimate ForceMay / 30 / 1997","Submission (Rear-Naked Choke)John McCarthy","1","0:56",1997-05-30
"2300",167,"Tony Halme","loss","Randy Couture","UFC 13 - The Ultimate ForceMay / 30 / 1997","Submission (Rear-Naked Choke)John McCarthy","1","0:56",1997-05-30
"3209",167,"Tony Halme","loss","Dick Vrij","Rings - Extension Fighting 2Apr / 22 / 1997","TKO (Doctor Stoppage)N/A","1","2:42",1997-04-22
"4168",167,"Tony Halme","loss","Mitsuya Nagai","Rings - Budokan Hall 1996Jan / 24 / 1996","N/AN/A","0","0:00",1996-01-24
"5130",167,"Tony Halme","loss","Dick Vrij","Rings - Budokan Hall 1995Jan / 25 / 1995","KON/A","0","0:00",1995-01-25
"2302",168,"Tony Fryklund","draw","Patrick Cenoble","Bellator MMA - Bellator 94Mar / 28 / 2013","Draw (Split)Troy Waugh","3","5:00",2013-03-28
"3228",168,"Tony Fryklund","loss","Cung Le","Strikeforce-EliteXC - Shamrock vs. BaroniJun / 22 / 2007","KO (Punch)Herb Dean","3","0:25",2007-06-22
"4169",168,"Tony Fryklund","loss","Duane Ludwig","Strikeforce - Triple ThreatDec / 08 / 2006","TKO (Knee)N/A","2","3:37",2006-12-08
"5131",168,"Tony Fryklund","loss","Thomas Denny","BIB - Beatdown in BakersfieldNov / 17 / 2006","Submission (Rear-Naked Choke)N/A","1","1:32",2006-11-17
"6113",168,"Tony Fryklund","win","Alex Reid","Cage Rage 18 - BattlegroundSep / 30 / 2006","Submission (Heel Hook)N/A","1","1:32",2006-09-30
"7101",168,"Tony Fryklund","win","Brian Dunn","Titan FC 4 - Memorial MayhemJun / 09 / 2006","KO (Punch)N/A","1","N/A",2006-06-09
"895",168,"Tony Fryklund","win","Tommy Gouge","Titan FC 3 - Red River RumbleMay / 20 / 2006","TKO (Submission to Punches)N/A","1","N/A",2006-05-20
"985",168,"Tony Fryklund","loss","Anderson Silva","Cage Rage 16 - Critical ConditionApr / 22 / 2006","KO (Elbow)N/A","1","2:02",2006-04-22
"1079",168,"Tony Fryklund","loss","Jonathan Goulet","TKO 20 - Champion vs. ChampionApr / 02 / 2005","TKO (Cut)N/A","1","1:16",2005-04-02
"1176",168,"Tony Fryklund","loss","Ivan Salaverry","UFC 50 - The War of '04Oct / 22 / 2004","Submission (Body Lock)Herb Dean","1","1:36",2004-10-22
"1273",168,"Tony Fryklund","win","Chris Myers","APEX - GenesisSep / 05 / 2004","TKO (Punches)N/A","2","4:20",2004-09-05
"1363",168,"Tony Fryklund","loss","Matt Lindland","ROTR 5 - Rumble on the Rock 5May / 07 / 2004","Decision (Unanimous)Troy Mandaloniz","3","5:00",2004-05-07
"1459",168,"Tony Fryklund","win","Eugene Jackson","Battleground 1 - War CryJul / 19 / 2003","TKO (Guillotine Choke)N/A","1","3:38",2003-07-19
"1554",168,"Tony Fryklund","win","Brian Ebersole","Dangerzone 17 - Dakota DestructionApr / 12 / 2003","Submission (Ankle Lock)N/A","2","4:37",2003-04-12
"1654",168,"Tony Fryklund","loss","David Loiseau","UCC 12 - AdrenalineJan / 25 / 2003","TKO (Cut)N/A","1","4:24",2003-01-25
"1750",168,"Tony Fryklund","win","Zach Light","WEC 4 - Rumble Under The SunAug / 31 / 2002","Submission (Kimura)N/A","1","4:06",2002-08-31
"1849",168,"Tony Fryklund","win","Rodrigo Ruas","UFC 37.5 - As Real As It GetsJun / 22 / 2002","TKO (Punches)N/A","2","3:34",2002-06-22
"1949",168,"Tony Fryklund","win","Jonathan Goulet","UCC 8 - Fast and FuriousMar / 30 / 2002","KO (Punches)N/A","1","3:45",2002-03-30
"2043",168,"Tony Fryklund","win","Adrian Serrano","UW - Horn vs. WikanMar / 02 / 2002","KO (Punches)N/A","2","3:18",2002-03-02
"21113",168,"Tony Fryklund","win","Marty Armendarez","Shogun 1 - Shogun 1Dec / 15 / 2001","Submission (Guillotine Choke)Mike Stock","2","0:47",2001-12-15
"22100",168,"Tony Fryklund","win","Jeremiah O'Neal","EC 44 - Extreme Challenge 44Sep / 15 / 2001","Submission (Guillotine Choke)N/A","1","0:53",2001-09-15
"2340",168,"Tony Fryklund","win","Cris Custer","RSF 2 - Attack at the TrackJun / 23 / 2001","Submission (Guillotine Choke)N/A","2","1:30",2001-06-23
"2440",168,"Tony Fryklund","loss","Kevin Jackson","UFC 14 - ShowdownJul / 27 / 1997","Submission (Rear-Naked Choke)John McCarthy","1","0:44",1997-07-27
"2536",168,"Tony Fryklund","win","Donnie Chappell","UFC 14 - ShowdownJul / 27 / 1997","Submission (Choke)John McCarthy","1","1:31",1997-07-27
"2303",169,"Donnie Chappell","loss","Tony Fryklund","UFC 14 - ShowdownJul / 27 / 1997","Submission (Choke)John McCarthy","1","1:31",1997-07-27
"2304",170,"Alex Hunter","win","Harry Moskowitz","UFC 15 - Collision CourseOct / 17 / 1997","Decision (Split)Joe Hamilton","1","10:00",1997-10-17
"3229",170,"Alex Hunter","win","Sam Fulton","UFC 14 - ShowdownJul / 27 / 1997","TKO (Punches)John McCarthy","1","2:22",1997-07-27
"2305",171,"Yuri Vaulin","loss","Joe Moreira","UFC 14 - ShowdownJul / 27 / 1997","Decision (Unanimous)John McCarthy","1","15:00",1997-07-27
"2306",172,"Kevin Jackson","win","Sam Adkins","EC 18 - Extreme Challenge 18May / 15 / 1998","Submission (Armbar)N/A","1","4:21",1998-05-15
"3230",172,"Kevin Jackson","loss","Jerry Bohlander","UFC 16 - Battle in the BayouMar / 13 / 1998","Technical Submission (Armbar)John McCarthy","1","10:23",1998-03-13
"4170",172,"Kevin Jackson","loss","Frank Shamrock","UFC 15.5 - Ultimate Japan 1Dec / 21 / 1997","Submission (Armbar)John McCarthy","1","0:16",1997-12-21
"5132",172,"Kevin Jackson","win","Tony Fryklund","UFC 14 - ShowdownJul / 27 / 1997","Submission (Rear-Naked Choke)John McCarthy","1","0:44",1997-07-27
"6114",172,"Kevin Jackson","win","Todd Butler","UFC 14 - ShowdownJul / 27 / 1997","TKO (Submission to Punches)John McCarthy","1","1:27",1997-07-27
"7102",172,"Kevin Jackson","win","John Lober","EF 4 - Extreme Fighting 4Mar / 28 / 1997","Submission (Arm-Triangle Choke)John Donehue","2","1:12",1997-03-28
"2307",173,"Todd Butler","win","Adam Harris","IFC - Montreal Cage CombatOct / 09 / 1999","Submission (Armbar)N/A","1","3:01",1999-10-09
"3231",173,"Todd Butler","loss","Jeremy Horn","IFC - Fighters RevengeApr / 02 / 1999","Submission (Armbar)N/A","1","2:22",1999-04-02
"4171",173,"Todd Butler","loss","Jeremy Horn","EC 20 - Extreme Challenge 20Aug / 22 / 1998","Submission (Rear-Naked Choke)N/A","1","3:28",1998-08-22
"5133",173,"Todd Butler","loss","Kevin Jackson","UFC 14 - ShowdownJul / 27 / 1997","TKO (Submission to Punches)John McCarthy","1","1:27",1997-07-27
"6115",173,"Todd Butler","loss","David Hood","WVC 1 - World Vale Tudo Championship 1Aug / 14 / 1996","Submission (No Apparent Reason)N/A","1","9:33",1996-08-14
"2308",174,"Dan Bobish","loss","Aleksander Emelianenko","HCF - Title WaveOct / 19 / 2007","Submission (Guillotine Choke)Steve Bergeron","1","1:09",2007-10-19
"3232",174,"Dan Bobish","win","Nate Eddy","NAAFS - Fight Night in the Flats 3Jun / 09 / 2007","TKO (Punches)N/A","1","1:26",2007-06-09
"4172",174,"Dan Bobish","win","Chris Clark","NAAFS - Caged Vengeance 3Dec / 02 / 2006","Submission (Keylock)N/A","1","1:36",2006-12-02
"5134",174,"Dan Bobish","win","Dan Evensen","XFS 2 - Xtreme Fight Series 2Oct / 14 / 2006","SubmissionN/A","1","1:25",2006-10-14
"6116",174,"Dan Bobish","win","Matt Eckerle","FF 6 - Fightfest 6Sep / 23 / 2006","SubmissionN/A","1","0:31",2006-09-23
"7103",174,"Dan Bobish","win","Eric Knox","NAAFS - Fight Night in the Flats 2Jun / 10 / 2006","KO (Punch)N/A","1","1:01",2006-06-10
"896",174,"Dan Bobish","win","Chris Clark","FF 3 - Fightfest 3May / 06 / 2006","Submission (Armbar)N/A","1","1:00",2006-05-06
"986",174,"Dan Bobish","loss","Ben Rothwell","GFC - Team Gracie vs. Team Hammer HouseMar / 03 / 2006","KO (Knee)N/A","1","4:20",2006-03-03
"1080",174,"Dan Bobish","win","Joey Smith","KOTC 64 - Raging BullDec / 16 / 2005","TKO (Submission to Punches)N/A","1","0:21",2005-12-16
"1177",174,"Dan Bobish","win","Ruben Villareal","KOTC 48 - PaybackFeb / 25 / 2005","TKO (Punches)N/A","1","0:55",2005-02-25
"1274",174,"Dan Bobish","loss","Mark Hunt","Pride 28 - High OctaneOct / 31 / 2004","TKO (Kick to the Body)N/A","1","6:23",2004-10-31
"1364",174,"Dan Bobish","loss","Igor Vovchanchyn","Pride 27 - InfernoFeb / 01 / 2004","TKO (Punches)N/A","2","1:45",2004-02-01
"1460",174,"Dan Bobish","loss","Gary Goodridge","Pride FC - Final Conflict 2003Nov / 09 / 2003","TKO (Punches)N/A","1","0:18",2003-11-09
"1555",174,"Dan Bobish","win","Basil Castro","X - 1Sep / 06 / 2003","TKO (Punches)N/A","1","1:33",2003-09-06
"1655",174,"Dan Bobish","loss","Jimmy Ambriz","KOTC 16 - Double CrossAug / 02 / 2002","TKO (Submission to Punches)N/A","1","0:46",2002-08-02
"1752",174,"Dan Bobish","win","Mike Kyle","KOTC 13 - RevolutionMay / 17 / 2002","TKO (Submission to Punches)Larry Landless","1","3:25",2002-05-17
"1850",174,"Dan Bobish","win","Eric Pele","KOTC 12 - Cold BloodFeb / 09 / 2002","TKO (Corner Stoppage)N/A","2","1:10",2002-02-09
"1950",174,"Dan Bobish","win","Brett Hogg","RSF 5 - New Blood ConflictOct / 27 / 2001","Submission (Keylock)N/A","1","0:27",2001-10-27
"2044",174,"Dan Bobish","loss","Mark Kerr","UFC 14 - ShowdownJul / 27 / 1997","Submission (Chin to the Eye)John McCarthy","1","1:38",1997-07-27
"21114",174,"Dan Bobish","win","Brian Johnston","UFC 14 - ShowdownJul / 27 / 1997","Submission (Forearm Choke)John McCarthy","1","2:10",1997-07-27
"22101",174,"Dan Bobish","loss","Carlos Barreto","UVF 6 - Universal Vale Tudo Fighting 6Mar / 03 / 1997","Submission (Triangle Choke)N/A","1","7:47",1997-03-03
"2342",174,"Dan Bobish","win","Jucimar Hypolito","UVF 6 - Universal Vale Tudo Fighting 6Mar / 03 / 1997","KO (Punches)N/A","1","0:05",1997-03-03
"2442",174,"Dan Bobish","win","Joe Charles","WFF - World Fighting FederationFeb / 24 / 1997","Submission (Arm-Triangle Choke)Dave Hale","1","4:42",1997-02-24
"2537",174,"Dan Bobish","loss","Kevin Randleman","UVF 4 - Universal Vale Tudo Fighting 4Oct / 22 / 1996","TKO (Submission to Punches)N/A","1","5:50",1996-10-22
"2633",174,"Dan Bobish","win","Dave Beneteau","UVF 4 - Universal Vale Tudo Fighting 4Oct / 22 / 1996","TKO (Cut)N/A","1","4:44",1996-10-22
"2732",174,"Dan Bobish","win","Mauro Bernardo","UVF 4 - Universal Vale Tudo Fighting 4Oct / 22 / 1996","Submission (Forearm Choke)N/A","1","1:40",1996-10-22
"2309",175,"Maurice Smith","loss","Matt Kovacs","CWC 9 - Cage Warrior Combat 9Nov / 02 / 2013","Decision (Unanimous)Jeremy Saunders","3","5:00",2013-11-02
"3233",175,"Maurice Smith","win","Jorge Cordoba","RFA 2 - Yvel vs. AlexanderMar / 30 / 2012","KO (Head Kick)Jim Axtell","3","2:05",2012-03-30
"4173",175,"Maurice Smith","loss","Hidehiko Yoshida","Sengoku - Third BattleJun / 08 / 2008","Submission (Neck Crank)Yoshinori Umeki","1","2:23",2008-06-08
"5135",175,"Maurice Smith","win","Rick Roufus","Strikeforce - Strikeforce at the DomeFeb / 23 / 2008","Submission (Straight Armbar)N/A","1","1:53",2008-02-23
"6117",175,"Maurice Smith","win","Marco Ruas","IFL - ChicagoMay / 19 / 2007","TKO (Corner Stoppage)N/A","4","3:43",2007-05-19
"7104",175,"Maurice Smith","loss","Renato Sobral","UFC 28 - High StakesNov / 17 / 2000","Decision (Unanimous)John McCarthy","3","5:00",2000-11-17
"897",175,"Maurice Smith","win","Bobby Hoffman","UFC 27 - Ultimate Bad BoyzSep / 22 / 2000","Decision (Majority)John McCarthy","3","5:00",2000-09-22
"987",175,"Maurice Smith","loss","Renzo Gracie","Rings - King of Kings 1999 Block BDec / 22 / 1999","Submission (Armlock)N/A","1","0:50",1999-12-22
"1083",175,"Maurice Smith","win","Branden Lee Hinkle","Rings - King of Kings 1999 Block BDec / 22 / 1999","Decision (Majority)N/A","2","5:00",1999-12-22
"1178",175,"Maurice Smith","loss","Marcus Silveira","WEF 7 - Stomp in the SwampOct / 09 / 1999","Submission (Arm-Triangle Choke)Kip Koller","2","2:48",1999-10-09
"1275",175,"Maurice Smith","win","Branko Cikatic","Pride FC - Pride 7Sep / 12 / 1999","Submission (Forearm Choke)Akira Okabayashi","1","7:33",1999-09-12
"1365",175,"Maurice Smith","win","Marco Ruas","UFC 21 - Return of the ChampionsJul / 16 / 1999","TKO (Corner Stoppage)John McCarthy","1","5:00",1999-07-16
